Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
20_2,7.5,2.5,0.0,0.0,5.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,5.0,0.0,12.5,0.0,0.0,2.5,0.0,2.5,2.5,42.5,0.0,2.5,0.0,0.0,0.0
21_1,13.33333333,6.666666667,0.0,0.0,1.904761905,0.0,0.0,0.952380952,0.952380952,13.33333333,0.952380952,0.0,27.61904762,18.095238100000003,2.857142857,0.0,0.952380952,2.857142857,0.0,0.0,7.619047619,1.904761905,0.0,0.0,0.0,0.0,0.0
21_2,8.510638298,2.127659574,0.0,0.0,0.0,0.0,0.0,0.0,4.255319149,17.0212766,0.0,0.0,17.0212766,23.40425532,0.0,0.0,0.0,2.127659574,0.0,2.127659574,21.27659574,0.0,0.0,2.127659574,0.0,0.0,0.0
22_1,17.39130435,1.4492753619999998,0.0,5.797101449,10.14492754,0.0,0.0,1.4492753619999998,0.0,24.63768116,0.0,0.0,11.5942029,2.898550725,2.898550725,0.0,0.0,1.4492753619999998,1.4492753619999998,0.0,5.797101449,1.4492753619999998,0.0,11.5942029,0.0,0.0,0.0
22_2,16.66666667,1.666666667,0.0,3.333333333,16.66666667,0.0,0.0,0.0,1.666666667,6.666666667,0.0,0.0,16.66666667,1.666666667,3.333333333,3.333333333,0.0,1.666666667,0.0,0.0,13.33333333,1.666666667,0.0,11.66666667,0.0,0.0,0.0
23_1,7.633587786,0.763358779,0.763358779,8.396946565,11.45038168,0.0,0.0,7.633587786,1.5267175569999998,12.21374046,0.0,3.053435115,8.396946565,6.106870229,11.45038168,1.5267175569999998,0.763358779,1.5267175569999998,0.0,0.763358779,3.053435115,6.106870229,0.0,6.870229008,0.0,0.0,0.0
23_2,10.84337349,2.4096385540000003,0.0,9.638554217000001,6.024096386,0.0,0.0,3.614457831,2.4096385540000003,12.04819277,3.614457831,1.204819277,9.638554217000001,8.43373494,8.43373494,1.204819277,0.0,1.204819277,0.0,6.024096386,3.614457831,1.204819277,0.0,8.43373494,0.0,0.0,0.0
24_1,3.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666667,0.0,0.0,10.0,0.0,10.0,3.333333333,0.0,3.333333333,0.0,0.0,43.33333333,6.666666667,0.0,10.0,0.0,3.333333333,0.0
24_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
25_1,8.219178082,1.369863014,0.0,0.0,1.369863014,0.0,0.0,0.0,0.0,17.80821918,0.0,0.0,23.28767123,6.849315067999999,6.849315067999999,0.0,1.369863014,1.369863014,0.0,0.0,6.849315067999999,6.849315067999999,0.0,17.80821918,0.0,0.0,0.0
