Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,y
158,4.260499087,0,0,0,0.806451613,0,0,0.806451613,3.24102252,0.852099817,0,0.943396226,13.67924528,0.410833841,1.460742544,4.701765064,1.08034084,1.475958612,0,0.806451613,2.678027998,0.410833841,0.806451613,2.814972611,0,0,0,1
159,0.82437276,1.111111111,0,0.896057348,3.94265233,0,0,2.043010753,3.333333333,1.827956989,2.222222222,3.333333333,0.250896057,0.107526882,0.107526882,2.258064516,0,4.516129032,2.29390681,2.29390681,3.405017921,15.80645161,0,0.107526882,0,0,0,1
16,2.480620155,0.258397933,0,0,0,0,0,0,2.222222222,2.739018088,1.266149871,3.333333333,5.012919897,3.126614987,8.34625323,1.111111111,2.067183463,1.111111111,0,0,6.072351421,5.555555556,2.325581395,0.051679587,0,0,0,1
160,2.799770511,1.457257602,0,0.952380952,6.333907057,0,0,1.204819277,2.604704532,24.25702811,0.252438325,0.952380952,13.17269076,2.799770511,0.447504303,0,0,1.204819277,1.399885255,1.204819277,4.681583477,2.524383247,0,4.176706827,0,0,0,1
161,6.526806527,2.564102564,0,2.983682984,6.713286713,0,0,1.818181818,0,1.724941725,0,0,2.89044289,7.272727273,8.857808858,0,0,3.636363636,2.564102564,0,2.144522145,0.979020979,0,3.31002331,0,0,0,1
162,3.655913978,8.129032258,0,2.387096774,1.612903226,0,0,1.333333333,0.279569892,20.77419355,0,0,13.80645161,3.225806452,11.16129032,0.559139785,2.666666667,5.11827957,0,1.612903226,1.892473118,4.903225806,0,0.774193548,0,1.612903226,0,1
163,1.4681555,0,0,2.564102564,2.805348773,0,0,1.502619245,0,2.660601048,1.047697822,0.709953129,2.405569341,2.612351806,0.144747725,0.806451613,0.854700855,1.564653984,0,2.612351806,0.144747725,0.503170664,0,6.486076647,0,0,0,1
164,1.809954751,1.176470588,0,4.705882353,1.176470588,0,0,6.515837104,0,9.230769231,0,0,11.22171946,1.538461538,7.873303167,0,0.271493213,1.538461538,1.176470588,0.36199095,5.610859729,7.963800905,0,12.0361991,0,0,0,1
165,3.424947146,0,0,0.253699789,3.932346723,0,0,0.507399577,0.909090909,2.938689218,1.162790698,1.162790698,0.422832981,1.014799154,0.803382664,0.253699789,0.253699789,2.177589852,1.670190275,2.325581395,1.712473573,1.606765328,1.162790698,2.917547569,0,0,0,1
166,0.284629981,0.901328273,0,0,15.89184061,0,0,0.142314991,0.142314991,14.65844402,0,0,6.546489564,3.368121442,4.127134725,1.612903226,1.328273245,3.225806452,0,0,2.371916509,4.459203036,0,0.569259962,0,1.470588235,0,1
